type,rating,release_year,show_id
Movie,NR,2010,4
TV Show,NR,2010,0
Movie,NR,2011,2
TV Show,NR,2011,0
Movie,NR,2012,5
TV Show,NR,2012,0
Movie,NR,2013,6
TV Show,NR,2013,3
Movie,NR,2014,7
TV Show,NR,2014,0
Movie,NR,2015,17
TV Show,NR,2015,1
Movie,NR,2016,20
TV Show,NR,2016,0
Movie,NR,2017,2
TV Show,NR,2017,0
Movie,NR,2018,1
TV Show,NR,2018,0
Movie,NR,2019,0
TV Show,NR,2019,0
Movie,NR,2020,0
TV Show,NR,2020,0
Movie,NR,2021,0
TV Show,NR,2021,0
Movie,PG,2000,4
TV Show,PG,2000,0
Movie,PG,2001,5
TV Show,PG,2001,0
Movie,PG,2002,4
TV Show,PG,2002,0
Movie,PG,2003,5
TV Show,PG,2003,0
Movie,PG,2004,8
TV Show,PG,2004,0
Movie,PG,2005,5
TV Show,PG,2005,0
Movie,PG,2006,8
TV Show,PG,2006,0
Movie,PG,2007,10
TV Show,PG,2007,0
Movie,PG,2008,10
TV Show,PG,2008,0
Movie,PG,2009,10
TV Show,PG,2009,0
Movie,PG,2010,8
TV Show,PG,2010,0
Movie,PG,2011,18
TV Show,PG,2011,0
Movie,PG,2012,7
TV Show,PG,2012,0
Movie,PG,2013,14
TV Show,PG,2013,0
Movie,PG,2014,15
TV Show,PG,2014,0
Movie,PG,2015,11
TV Show,PG,2015,0
Movie,PG,2016,14
TV Show,PG,2016,0
Movie,PG,2017,15
TV Show,PG,2017,0
Movie,PG,2018,31
TV Show,PG,2018,0
Movie,PG,2019,12
TV Show,PG,2019,0
Movie,PG,2020,15
TV Show,PG,2020,0
Movie,PG,2021,11
TV Show,PG,2021,0
Movie,PG-13,2000,10
TV Show,PG-13,2000,0
Movie,PG-13,2001,8
TV Show,PG-13,2001,0
Movie,PG-13,2002,14
TV Show,PG-13,2002,0
Movie,PG-13,2003,10
TV Show,PG-13,2003,0
Movie,PG-13,2004,7
TV Show,PG-13,2004,0
Movie,PG-13,2005,16
TV Show,PG-13,2005,0
Movie,PG-13,2006,15
TV Show,PG-13,2006,0
Movie,PG-13,2007,15
TV Show,PG-13,2007,0
Movie,PG-13,2008,24
TV Show,PG-13,2008,0
Movie,PG-13,2009,25
TV Show,PG-13,2009,0
Movie,PG-13,2010,26
TV Show,PG-13,2010,0
Movie,PG-13,2011,23
TV Show,PG-13,2011,0
Movie,PG-13,2012,19
TV Show,PG-13,2012,0
Movie,PG-13,2013,15
TV Show,PG-13,2013,0
Movie,PG-13,2014,19
TV Show,PG-13,2014,0
Movie,PG-13,2015,25
TV Show,PG-13,2015,0
Movie,PG-13,2016,34
TV Show,PG-13,2016,0
Movie,PG-13,2017,32
TV Show,PG-13,2017,0
Movie,PG-13,2018,30
TV Show,PG-13,2018,0
Movie,PG-13,2019,19
TV Show,PG-13,2019,0
Movie,PG-13,2020,21
TV Show,PG-13,2020,0
Movie,PG-13,2021,14
TV Show,PG-13,2021,0
Movie,R,2000,8
TV Show,R,2000,0
Movie,R,2001,14
TV Show,R,2001,0
Movie,R,2002,12
TV Show,R,2002,0
Movie,R,2003,16
TV Show,R,2003,0
Movie,R,2004,7
TV Show,R,2004,0
Movie,R,2005,10
TV Show,R,2005,0
Movie,R,2006,12
TV Show,R,2006,0
Movie,R,2007,14
TV Show,R,2007,0
Movie,R,2008,19
TV Show,R,2008,0
Movie,R,2009,25
TV Show,R,2009,0
Movie,R,2010,26
TV Show,R,2010,0
Movie,R,2011,20
TV Show,R,2011,0
Movie,R,2012,29
TV Show,R,2012,0
Movie,R,2013,41
TV Show,R,2013,0
Movie,R,2014,49
TV Show,R,2014,0
TV Show,R,2015,1
Movie,R,2015,66
TV Show,R,2016,1
Movie,R,2016,85
Movie,R,2017,73
TV Show,R,2017,0
Movie,R,2018,52
TV Show,R,2018,0
Movie,R,2019,39
TV Show,R,2019,0
Movie,R,2020,48
TV Show,R,2020,0
Movie,R,2021,21
TV Show,R,2021,0
Movie,TV-14,2000,5
TV Show,TV-14,2000,0
TV Show,TV-14,2001,3
Movie,TV-14,2001,6
Movie,TV-14,2002,8
TV Show,TV-14,2002,3
Movie,TV-14,2003,10
TV Show,TV-14,2003,6
Movie,TV-14,2004,12
TV Show,TV-14,2004,3
TV Show,TV-14,2005,5
Movie,TV-14,2005,21
Movie,TV-14,2006,24
TV Show,TV-14,2006,7
TV Show,TV-14,2007,4
Movie,TV-14,2007,14
Movie,TV-14,2008,29
TV Show,TV-14,2008,9
Movie,TV-14,2009,33
TV Show,TV-14,2009,15
TV Show,TV-14,2010,15
Movie,TV-14,2010,35
TV Show,TV-14,2011,18
Movie,TV-14,2011,37
TV Show,TV-14,2012,27
Movie,TV-14,2012,46
Movie,TV-14,2013,53
TV Show,TV-14,2013,22
TV Show,TV-14,2014,34
Movie,TV-14,2014,65
Movie,TV-14,2015,87
TV Show,TV-14,2015,57
Movie,TV-14,2016,140
TV Show,TV-14,2016,78
Movie,TV-14,2017,182
TV Show,TV-14,2017,69
TV Show,TV-14,2018,92
Movie,TV-14,2018,176
TV Show,TV-14,2019,92
Movie,TV-14,2019,160
TV Show,TV-14,2020,83
Movie,TV-14,2020,91
TV Show,TV-14,2021,78
Movie,TV-14,2021,73
Movie,TV-G,2000,0
TV Show,TV-G,2000,0
TV Show,TV-G,2001,1
Movie,TV-G,2001,0
Movie,TV-G,2002,0
TV Show,TV-G,2002,0
Movie,TV-G,2003,0
TV Show,TV-G,2003,0
Movie,TV-G,2004,0
TV Show,TV-G,2004,0
Movie,TV-G,2005,0
TV Show,TV-G,2005,0
Movie,TV-G,2006,0
TV Show,TV-G,2006,0
Movie,TV-G,2007,0
TV Show,TV-G,2007,0
TV Show,TV-G,2008,3
Movie,TV-G,2008,1
TV Show,TV-G,2009,1
Movie,TV-G,2009,0
Movie,TV-G,2010,3
TV Show,TV-G,2010,0
TV Show,TV-G,2011,1
Movie,TV-G,2011,1
Movie,TV-G,2012,2
TV Show,TV-G,2012,1
Movie,TV-G,2013,5
TV Show,TV-G,2013,8
TV Show,TV-G,2014,4
Movie,TV-G,2014,3
Movie,TV-G,2015,6
TV Show,TV-G,2015,5
Movie,TV-G,2016,13
TV Show,TV-G,2016,9
Movie,TV-G,2017,20
TV Show,TV-G,2017,6
TV Show,TV-G,2018,8
Movie,TV-G,2018,18
Movie,TV-G,2019,15
TV Show,TV-G,2019,8
TV Show,TV-G,2020,19
Movie,TV-G,2020,26
Movie,TV-G,2021,9
TV Show,TV-G,2021,12
Movie,TV-MA,2000,1
TV Show,TV-MA,2000,0
Movie,TV-MA,2001,2
TV Show,TV-MA,2001,0
TV Show,TV-MA,2002,2
Movie,TV-MA,2002,5
Movie,TV-MA,2003,8
TV Show,TV-MA,2003,0
Movie,TV-MA,2004,8
TV Show,TV-MA,2004,2
TV Show,TV-MA,2005,4
Movie,TV-MA,2005,4
TV Show,TV-MA,2006,4
Movie,TV-MA,2006,13
TV Show,TV-MA,2007,5
Movie,TV-MA,2007,12
Movie,TV-MA,2008,20
TV Show,TV-MA,2008,5
Movie,TV-MA,2009,8
TV Show,TV-MA,2009,10
Movie,TV-MA,2010,33
TV Show,TV-MA,2010,9
Movie,TV-MA,2011,20
TV Show,TV-MA,2011,7
TV Show,TV-MA,2012,13
Movie,TV-MA,2012,41
Movie,TV-MA,2013,48
TV Show,TV-MA,2013,16
TV Show,TV-MA,2014,17
Movie,TV-MA,2014,62
Movie,TV-MA,2015,135
TV Show,TV-MA,2015,49
TV Show,TV-MA,2016,68
Movie,TV-MA,2016,273
Movie,TV-MA,2017,337
TV Show,TV-MA,2017,114
Movie,TV-MA,2018,358
TV Show,TV-MA,2018,191
Movie,TV-MA,2019,286
TV Show,TV-MA,2019,214
TV Show,TV-MA,2020,249
Movie,TV-MA,2020,220
TV Show,TV-MA,2021,160
Movie,TV-MA,2021,110
TV Show,TV-PG,2000,2
Movie,TV-PG,2000,3
Movie,TV-PG,2001,2
TV Show,TV-PG,2001,0
Movie,TV-PG,2002,1
TV Show,TV-PG,2002,1
Movie,TV-PG,2003,1
TV Show,TV-PG,2003,2
TV Show,TV-PG,2004,1
Movie,TV-PG,2004,9
TV Show,TV-PG,2005,1
Movie,TV-PG,2005,9
TV Show,TV-PG,2006,2
Movie,TV-PG,2006,8
Movie,TV-PG,2007,5
TV Show,TV-PG,2007,1
TV Show,TV-PG,2008,3
Movie,TV-PG,2008,6
Movie,TV-PG,2009,10
TV Show,TV-PG,2009,6
TV Show,TV-PG,2010,10
Movie,TV-PG,2010,10
TV Show,TV-PG,2011,7
Movie,TV-PG,2011,11
TV Show,TV-PG,2012,13
Movie,TV-PG,2012,10
Movie,TV-PG,2013,20
TV Show,TV-PG,2013,9
TV Show,TV-PG,2014,21
Movie,TV-PG,2014,26
Movie,TV-PG,2015,35
TV Show,TV-PG,2015,28
TV Show,TV-PG,2016,45
Movie,TV-PG,2016,52
Movie,TV-PG,2017,80
TV Show,TV-PG,2017,31
TV Show,TV-PG,2018,34
Movie,TV-PG,2018,71
Movie,TV-PG,2019,62
TV Show,TV-PG,2019,36
Movie,TV-PG,2020,46
TV Show,TV-PG,2020,34
TV Show,TV-PG,2021,25
Movie,TV-PG,2021,20
Movie,TV-Y,2000,0
TV Show,TV-Y,2000,0
Movie,TV-Y,2001,0
TV Show,TV-Y,2001,0
Movie,TV-Y,2002,0
TV Show,TV-Y,2002,0
Movie,TV-Y,2003,1
TV Show,TV-Y,2003,0
TV Show,TV-Y,2004,1
Movie,TV-Y,2004,0
Movie,TV-Y,2005,0
TV Show,TV-Y,2005,0
Movie,TV-Y,2006,0
TV Show,TV-Y,2006,0
Movie,TV-Y,2007,1
TV Show,TV-Y,2007,1
TV Show,TV-Y,2008,1
Movie,TV-Y,2008,1
Movie,TV-Y,2009,0
TV Show,TV-Y,2009,0
TV Show,TV-Y,2010,4
Movie,TV-Y,2010,2
TV Show,TV-Y,2011,4
Movie,TV-Y,2011,4
TV Show,TV-Y,2012,6
Movie,TV-Y,2012,2
Movie,TV-Y,2013,5
TV Show,TV-Y,2013,0
TV Show,TV-Y,2014,8
Movie,TV-Y,2014,6
TV Show,TV-Y,2015,10
Movie,TV-Y,2015,10
Movie,TV-Y,2016,8
TV Show,TV-Y,2016,23
TV Show,TV-Y,2017,18
Movie,TV-Y,2017,13
TV Show,TV-Y,2018,28
Movie,TV-Y,2018,13
TV Show,TV-Y,2019,25
Movie,TV-Y,2019,25
Movie,TV-Y,2020,34
TV Show,TV-Y,2020,25
Movie,TV-Y,2021,6
TV Show,TV-Y,2021,20
TV Show,TV-Y7,2000,2
Movie,TV-Y7,2000,0
Movie,TV-Y7,2001,1
TV Show,TV-Y7,2001,1
TV Show,TV-Y7,2002,1
Movie,TV-Y7,2002,0
TV Show,TV-Y7,2003,2
Movie,TV-Y7,2003,0
TV Show,TV-Y7,2004,1
Movie,TV-Y7,2004,0
TV Show,TV-Y7,2005,3
Movie,TV-Y7,2005,0
TV Show,TV-Y7,2006,1
Movie,TV-Y7,2006,1
TV Show,TV-Y7,2007,3
Movie,TV-Y7,2007,0
TV Show,TV-Y7,2008,2
Movie,TV-Y7,2008,2
Movie,TV-Y7,2009,3
TV Show,TV-Y7,2009,2
Movie,TV-Y7,2010,6
TV Show,TV-Y7,2010,2
Movie,TV-Y7,2011,8
TV Show,TV-Y7,2011,3
TV Show,TV-Y7,2012,4
Movie,TV-Y7,2012,11
TV Show,TV-Y7,2013,4
Movie,TV-Y7,2013,16
TV Show,TV-Y7,2014,3
Movie,TV-Y7,2014,9
TV Show,TV-Y7,2015,10
Movie,TV-Y7,2015,4
Movie,TV-Y7,2016,13
TV Show,TV-Y7,2016,20
Movie,TV-Y7,2017,10
TV Show,TV-Y7,2017,27
Movie,TV-Y7,2018,13
TV Show,TV-Y7,2018,27
TV Show,TV-Y7,2019,22
Movie,TV-Y7,2019,14
TV Show,TV-Y7,2020,26
Movie,TV-Y7,2020,15
TV Show,TV-Y7,2021,20
Movie,TV-Y7,2021,13
Movie,TV-Y7-FV,2000,0
TV Show,TV-Y7-FV,2000,0
Movie,TV-Y7-FV,2001,0
TV Show,TV-Y7-FV,2001,0
Movie,TV-Y7-FV,2002,0
TV Show,TV-Y7-FV,2002,0
Movie,TV-Y7-FV,2003,0
TV Show,TV-Y7-FV,2003,0
Movie,TV-Y7-FV,2004,0
TV Show,TV-Y7-FV,2004,0
Movie,TV-Y7-FV,2005,0
TV Show,TV-Y7-FV,2005,0
Movie,TV-Y7-FV,2006,0
TV Show,TV-Y7-FV,2006,0
Movie,TV-Y7-FV,2007,0
TV Show,TV-Y7-FV,2007,0
Movie,TV-Y7-FV,2008,0
TV Show,TV-Y7-FV,2008,0
Movie,TV-Y7-FV,2009,0
TV Show,TV-Y7-FV,2009,0
Movie,TV-Y7-FV,2010,0
TV Show,TV-Y7-FV,2010,0
Movie,TV-Y7-FV,2011,0
TV Show,TV-Y7-FV,2011,0
Movie,TV-Y7-FV,2012,1
TV Show,TV-Y7-FV,2012,0
Movie,TV-Y7-FV,2013,1
TV Show,TV-Y7-FV,2013,0
TV Show,TV-Y7-FV,2014,1
Movie,TV-Y7-FV,2014,0
Movie,TV-Y7-FV,2015,0
TV Show,TV-Y7-FV,2015,0
Movie,TV-Y7-FV,2016,2
TV Show,TV-Y7-FV,2016,0
Movie,TV-Y7-FV,2017,0
TV Show,TV-Y7-FV,2017,0
Movie,TV-Y7-FV,2018,1
TV Show,TV-Y7-FV,2018,0
Movie,TV-Y7-FV,2019,0
TV Show,TV-Y7-FV,2019,0
Movie,TV-Y7-FV,2020,0
TV Show,TV-Y7-FV,2020,0
Movie,TV-Y7-FV,2021,0
TV Show,TV-Y7-FV,2021,0
Movie,UR,2000,0
TV Show,UR,2000,0
Movie,UR,2001,0
TV Show,UR,2001,0
Movie,UR,2002,0
TV Show,UR,2002,0
Movie,UR,2003,0
TV Show,UR,2003,0
Movie,UR,2004,0
TV Show,UR,2004,0
Movie,UR,2005,0
TV Show,UR,2005,0
Movie,UR,2006,0
TV Show,UR,2006,0
Movie,UR,2007,0
TV Show,UR,2007,0
Movie,UR,2008,1
TV Show,UR,2008,0
Movie,UR,2009,0
TV Show,UR,2009,0
Movie,UR,2010,0
TV Show,UR,2010,0
Movie,UR,2011,0
TV Show,UR,2011,0
Movie,UR,2012,0
TV Show,UR,2012,0
Movie,UR,2013,0
TV Show,UR,2013,0
Movie,UR,2014,0
TV Show,UR,2014,0
Movie,UR,2015,0
TV Show,UR,2015,0
Movie,UR,2016,1
TV Show,UR,2016,0
Movie,UR,2017,0
TV Show,UR,2017,0
Movie,UR,2018,0
TV Show,UR,2018,0
Movie,UR,2019,0
TV Show,UR,2019,0
Movie,UR,2020,0
TV Show,UR,2020,0
Movie,UR,2021,0
TV Show,UR,2021,0
Movie,,2000,0
TV Show,,2000,0
Movie,,2001,0
TV Show,,2001,0
Movie,,2002,0
TV Show,,2002,0
Movie,,2003,0
TV Show,,2003,0
Movie,,2004,0
TV Show,,2004,0
Movie,,2005,0
TV Show,,2005,0
Movie,,2006,0
TV Show,,2006,0
Movie,,2007,0
TV Show,,2007,0
Movie,,2008,0
TV Show,,2008,0
Movie,,2009,0
TV Show,,2009,0
Movie,,2010,0
TV Show,,2010,0
Movie,,2011,0
TV Show,,2011,0
Movie,,2012,0
TV Show,,2012,0
Movie,,2013,0
TV Show,,2013,0
Movie,,2014,0
TV Show,,2014,0
Movie,,2015,0
TV Show,,2015,0
Movie,,2016,0
TV Show,,2016,0
Movie,,2017,0
TV Show,,2017,0
Movie,,2018,0
TV Show,,2018,0
Movie,,2019,0
TV Show,,2019,0
Movie,,2020,0
TV Show,,2020,0
Movie,,2021,0
TV Show,,2021,0
